fabricante,modelo,cilindrada,ano,cilindros,transmissao,tracao,cidade,rodovia,combustivel,classe
audi,a4,1.8,1999,4,auto(l5),d,18,29,p,compacto
audi,a4,1.8,1999,4,manual(m5),d,21,29,p,compacto
audi,a4,2,2008,4,manual(m6),d,20,31,p,compacto
audi,a4,2,2008,4,auto(av),d,21,30,p,compacto
audi,a4,2.8,1999,6,auto(l5),d,16,26,p,compacto
audi,a4,2.8,1999,6,manual(m5),d,18,26,p,compacto
audi,a4,3.1,2008,6,auto(av),d,18,27,p,compacto
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compacto
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compacto
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compacto
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compacto
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compacto
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compacto
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compacto
audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,p,compacto
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,médio
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,médio
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,médio
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),t,14,20,r,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),t,11,15,e,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),t,14,20,r,suv
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),t,13,17,r,suv
chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),t,12,17,r,suv
chevrolet,corvette,5.7,1999,8,manual(m6),t,16,26,p,2 assentos
chevrolet,corvette,5.7,1999,8,auto(l4),t,15,23,p,2 assentos
chevrolet,corvette,6.2,2008,8,manual(m6),t,16,26,p,2 assentos
chevrolet,corvette,6.2,2008,8,auto(s6),t,15,25,p,2 assentos
chevrolet,corvette,7,2008,8,manual(m6),t,15,24,p,2 assentos
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
chevrolet,malibu,2.4,1999,4,auto(l4),d,19,27,r,médio
chevrolet,malibu,2.4,2008,4,auto(l4),d,22,30,r,médio
chevrolet,malibu,3.1,1999,6,auto(l4),d,18,26,r,médio
chevrolet,malibu,3.5,2008,6,auto(l4),d,18,29,r,médio
chevrolet,malibu,3.6,2008,6,auto(s6),d,17,26,r,médio
dodge,caravan 2wd,2.4,1999,4,auto(l3),d,18,24,r,minivan
dodge,caravan 2wd,3,1999,6,auto(l4),d,17,24,r,minivan
dodge,caravan 2wd,3.3,1999,6,auto(l4),d,16,22,r,minivan
dodge,caravan 2wd,3.3,1999,6,auto(l4),d,16,22,r,minivan
dodge,caravan 2wd,3.3,2008,6,auto(l4),d,17,24,r,minivan
dodge,caravan 2wd,3.3,2008,6,auto(l4),d,17,24,r,minivan
